Asset 1,Asset 1 Industry,Asset 1 Sector,Asset 1 Long Name,Asset 2,Asset 2 Industry,Asset 2 Sector,Asset 2 Long Name,ADF p-Value,TestDate
PODD,Medical Devices,Healthcare,Insulet Corporation,SYK,Medical Devices,Healthcare,Stryker Corporation,0.049417,2024-11-15
CB,Insurance - Property & Casualty,Financial Services,Chubb Limited,PGR,Insurance - Property & Casualty,Financial Services,The Progressive Corporation,0.048947,2024-11-14
FRT,REIT - Retail,Real Estate,Federal Realty Investment Trust,REG,REIT - Retail,Real Estate,Regency Centers Corporation,0.047887,2024-11-18
CF,Agricultural Inputs,Basic Materials,"CF Industries Holdings, Inc.",FMC,Agricultural Inputs,Basic Materials,FMC Corporation,0.046733,2024-11-15
CBOE,Financial Data & Stock Exchanges,Financial Services,"Cboe Global Markets, Inc.",MSCI,Financial Data & Stock Exchanges,Financial Services,MSCI Inc.,0.046664,2024-11-14
CRL,Diagnostics & Research,Healthcare,"Charles River Laboratories International, Inc.",DGX,Diagnostics & Research,Healthcare,Quest Diagnostics Incorporated,0.046132,2024-11-14
CRL,Diagnostics & Research,Healthcare,"Charles River Laboratories International, Inc.",DGX,Diagnostics & Research,Healthcare,Quest Diagnostics Incorporated,0.045381,2024-11-18
EQR,REIT - Residential,Real Estate,Equity Residential,MAA,REIT - Residential,Real Estate,"Mid-America Apartment Communities, Inc.",0.044820,2024-11-14
CB,Insurance - Property & Casualty,Financial Services,Chubb Limited,PGR,Insurance - Property & Casualty,Financial Services,The Progressive Corporation,0.043318,2024-11-15
EQIX,REIT - Specialty,Real Estate,"Equinix, Inc.",SBAC,REIT - Specialty,Real Estate,SBA Communications Corporation,0.043284,2024-11-14
